word	length	score	band	rarity	unique_ratio	repetition_ratio	unpredictability	shortness
humanité	8	1.052308	hard	3.174714	1.000000	0.000000	2.698791	0.125000
voyance	7	1.047050	hard	3.273619	1.000000	0.000000	2.377085	0.142857
privilège	9	1.046467	hard	3.412397	0.888889	0.111111	2.714941	0.111111
cahier	6	1.043072	hard	2.930689	1.000000	0.000000	2.991232	0.166667
junior	6	1.041146	hard	3.178346	1.000000	0.000000	2.446663	0.166667
engagé	6	1.035569	hard	3.312769	0.833333	0.166667	2.847324	0.166667
phrase	6	1.032947	hard	2.950015	1.000000	0.000000	2.934355	0.166667
bloquer	7	1.032593	hard	3.225375	1.000000	0.000000	2.461783	0.142857
périmètre	9	1.026718	hard	3.266628	0.888889	0.111111	3.005360	0.111111
appliqué	8	1.024678	hard	3.355536	0.875000	0.125000	2.790454	0.125000
exécution	9	1.023640	hard	3.139912	1.000000	0.000000	2.809619	0.111111
bouger	6	1.020356	hard	3.189765	1.000000	0.000000	2.391706	0.166667
résolu	6	1.016086	hard	2.967869	1.000000	0.000000	2.870984	0.166667
citoyen	7	1.012397	hard	3.069181	1.000000	0.000000	2.774365	0.142857
thérapie	8	1.011166	hard	3.049111	1.000000	0.000000	2.914248	0.125000
trafic	6	1.011033	hard	3.034938	1.000000	0.000000	2.716973	0.166667
amovible	8	1.010976	hard	3.131144	1.000000	0.000000	2.734513	0.125000
contrôle	8	1.010807	hard	3.321587	1.000000	0.000000	2.317640	0.125000
country	7	1.009574	hard	3.207274	1.000000	0.000000	2.468190	0.142857
cocktail	8	1.006671	hard	3.280788	0.875000	0.125000	2.928014	0.125000
signal	6	1.006352	hard	2.956811	1.000000	0.000000	2.881141	0.166667
qualifié	8	1.005191	hard	3.361933	0.875000	0.125000	2.748362	0.125000
plongée	7	0.999494	hard	3.166119	1.000000	0.000000	2.543691	0.142857
graphique	9	0.999219	hard	3.324655	1.000000	0.000000	2.370252	0.111111
témoin	6	0.999026	hard	3.040166	1.000000	0.000000	2.688223	0.166667
bouche	6	0.994814	hard	3.313883	1.000000	0.000000	2.083348	0.166667
charbon	7	0.994729	hard	3.272148	1.000000	0.000000	2.304863	0.142857
blocage	7	0.994514	hard	3.198813	1.000000	0.000000	2.464985	0.142857
pédagogique	11	0.992980	hard	3.381412	0.909091	0.090909	2.731009	0.090909
désolé	6	0.992777	hard	3.244092	0.833333	0.166667	2.935865	0.166667
profit	6	0.991852	hard	3.105421	1.000000	0.000000	2.535123	0.166667
pseudo	6	0.990942	hard	2.832399	1.000000	0.000000	3.131094	0.166667
fédéral	7	0.990528	hard	3.388119	0.857143	0.142857	2.647478	0.142857
banque	6	0.990219	hard	3.236899	1.000000	0.000000	2.245137	0.166667
dragon	6	0.986319	hard	3.057386	1.000000	0.000000	2.632232	0.166667
liberté	7	0.984491	hard	3.034227	1.000000	0.000000	2.810595	0.142857
chrome	6	0.981968	hard	3.116631	1.000000	0.000000	2.496348	0.166667
dirigé	6	0.980506	hard	3.250146	0.833333	0.166667	2.904929	0.166667
intérêt	7	0.979593	hard	3.432205	0.857143	0.142857	2.535267	0.142857
sticker	7	0.979124	hard	3.112071	1.000000	0.000000	2.632558	0.142857
humidité	8	0.978923	hard	3.258035	0.875000	0.125000	2.937781	0.125000
jardin	6	0.975541	hard	3.201299	1.000000	0.000000	2.301856	0.166667
journée	7	0.964783	hard	3.190798	1.000000	0.000000	2.439654	0.142857
pigment	7	0.964723	hard	3.042700	1.000000	0.000000	2.763555	0.142857
balcon	6	0.964201	hard	3.121194	1.000000	0.000000	2.460748	0.166667
complexité	10	0.963263	hard	3.263664	1.000000	0.000000	2.512659	0.100000
requête	7	0.962937	hard	3.401497	0.857143	0.142857	2.578430	0.142857
espèce	6	0.962488	hard	3.188861	0.833333	0.166667	3.013020	0.166667
magazine	8	0.962285	hard	3.300761	0.875000	0.125000	2.820320	0.125000
basque	6	0.960820	hard	3.219164	1.000000	0.000000	2.241548	0.166667
chaudière	9	0.960308	hard	3.295732	1.000000	0.000000	2.377420	0.111111
société	7	0.960040	hard	3.119994	0.857143	0.142857	3.190088	0.142857
vérité	6	0.959191	hard	3.331638	0.833333	0.166667	2.695918	0.166667
deuxième	8	0.957699	hard	3.442101	0.875000	0.125000	2.504503	0.125000
charge	6	0.955521	hard	3.219326	1.000000	0.000000	2.233552	0.166667
polémique	9	0.952004	hard	3.229906	1.000000	0.000000	2.509453	0.111111
bambou	6	0.951339	hard	3.452659	0.833333	0.166667	2.419843	0.166667
fluide	6	0.950925	hard	3.017925	1.000000	0.000000	2.667525	0.166667
chambre	7	0.950038	hard	3.273849	1.000000	0.000000	2.236704	0.142857
impact	6	0.949696	hard	3.030720	1.000000	0.000000	2.637763	0.166667
quatrième	9	0.947692	hard	3.298276	1.000000	0.000000	2.353664	0.111111
favori	6	0.945220	hard	3.202347	1.000000	0.000000	2.255843	0.166667
comité	6	0.941061	hard	3.144690	1.000000	0.000000	2.375982	0.166667
église	6	0.940305	hard	3.066168	1.000000	0.000000	2.546673	0.166667
fiable	6	0.939448	hard	3.157834	1.000000	0.000000	2.344901	0.166667
acquérir	8	0.939143	hard	3.189802	0.875000	0.125000	3.029695	0.125000
accusé	6	0.936891	hard	3.094305	0.833333	0.166667	3.182972	0.166667
cyclisme	8	0.933581	hard	3.206267	0.875000	0.125000	2.985654	0.125000
synthétique	11	0.933116	hard	3.345444	0.909091	0.090909	2.723378	0.090909
départ	6	0.929717	hard	3.100661	1.000000	0.000000	2.455946	0.166667
qualité	7	0.926790	hard	3.221045	1.000000	0.000000	2.318700	0.142857
cyclone	7	0.924363	hard	3.201186	0.857143	0.142857	2.961024	0.142857
golden	6	0.921476	hard	3.002238	1.000000	0.000000	2.659381	0.166667
relève	6	0.920944	hard	3.258479	0.833333	0.166667	2.800817	0.166667
volume	6	0.920734	hard	3.049872	1.000000	0.000000	2.554104	0.166667
tomber	6	0.920557	hard	3.009218	1.000000	0.000000	2.642787	0.166667
fabrique	8	0.920203	hard	3.303543	1.000000	0.000000	2.226478	0.125000
échange	7	0.919859	hard	3.324224	1.000000	0.000000	2.082986	0.142857
français	8	0.916527	hard	3.456656	0.875000	0.125000	2.413297	0.125000
épargne	7	0.907857	hard	3.091792	1.000000	0.000000	2.574165	0.142857
ciseaux	7	0.905955	hard	3.044834	1.000000	0.000000	2.674152	0.142857
établir	7	0.904567	hard	3.123458	1.000000	0.000000	2.500147	0.142857
adapté	6	0.903308	hard	3.089845	0.833333	0.166667	3.144306	0.166667
démarche	8	0.901181	hard	3.211309	1.000000	0.000000	2.400826	0.125000
figure	6	0.900524	hard	3.150705	1.000000	0.000000	2.304375	0.166667
organisé	8	0.898018	hard	3.024792	1.000000	0.000000	2.804304	0.125000
weekend	7	0.897997	hard	3.434530	0.714286	0.285714	3.014907	0.142857
bonheur	7	0.895816	hard	3.129199	1.000000	0.000000	2.474970	0.142857
hydraulique	11	0.895194	hard	3.332987	0.909091	0.090909	2.695952	0.090909
cirque	6	0.891043	hard	3.050709	1.000000	0.000000	2.509463	0.166667
réfléchir	9	0.890518	hard	3.433290	0.777778	0.222222	2.912894	0.111111
magique	7	0.885340	hard	3.263090	1.000000	0.000000	2.166955	0.142857
guilde	6	0.877996	hard	3.014862	1.000000	0.000000	2.569073	0.166667
mélange	7	0.876703	hard	3.139409	1.000000	0.000000	2.425075	0.142857
