word	length	score	band	rarity	unique_ratio	repetition_ratio	unpredictability	shortness
подчеркнуть	11	0.875437	hard	3.241013	1.000000	0.000000	3.045745	0.090909
выбрать	7	0.874703	hard	3.356397	1.000000	0.000000	2.493586	0.142857
действующий	11	0.874379	hard	3.681790	0.909091	0.090909	2.465316	0.090909
галстук	7	0.874202	hard	3.215527	1.000000	0.000000	2.817376	0.142857
отличный	8	0.872000	hard	3.263893	1.000000	0.000000	2.800761	0.125000
убрать	6	0.871838	hard	3.358067	1.000000	0.000000	2.354766	0.166667
задний	6	0.871537	hard	3.295894	1.000000	0.000000	2.497555	0.166667
подходящий	10	0.870637	hard	3.628242	0.800000	0.200000	3.057123	0.100000
свадебный	9	0.867204	hard	3.296798	1.000000	0.000000	2.794143	0.111111
бежевый	7	0.866868	hard	3.608012	0.857143	0.142857	2.588409	0.142857
выложить	8	0.860352	hard	3.338929	1.000000	0.000000	2.610701	0.125000
концепция	9	0.854226	hard	3.447669	0.888889	0.111111	2.961009	0.111111
высокий	7	0.853652	hard	3.204516	1.000000	0.000000	2.812409	0.142857
отпуск	6	0.853607	hard	3.073305	1.000000	0.000000	2.983876	0.166667
ребята	6	0.851017	hard	3.117892	1.000000	0.000000	2.877336	0.166667
лицевой	7	0.849610	hard	3.303226	1.000000	0.000000	2.579037	0.142857
кожаный	7	0.847393	hard	3.399618	1.000000	0.000000	2.353702	0.142857
крутой	6	0.846999	hard	3.213252	1.000000	0.000000	2.651718	0.166667
удалять	7	0.845691	hard	3.393561	1.000000	0.000000	2.365143	0.142857
альбом	6	0.842178	hard	3.278271	1.000000	0.000000	2.494815	0.166667
вплоть	6	0.842053	hard	3.162442	1.000000	0.000000	2.761471	0.166667
темный	6	0.838118	hard	3.276500	1.000000	0.000000	2.492899	0.166667
влиять	6	0.836018	hard	3.280104	1.000000	0.000000	2.481497	0.166667
вылечить	8	0.835101	hard	3.317430	1.000000	0.000000	2.622955	0.125000
опытный	7	0.833640	hard	3.351201	0.857143	0.142857	3.130987	0.142857
цветной	7	0.830389	hard	3.254089	1.000000	0.000000	2.663863	0.142857
близко	6	0.828803	hard	3.262478	1.000000	0.000000	2.511453	0.166667
поехать	7	0.828140	hard	3.191727	1.000000	0.000000	2.804211	0.142857
выполнять	9	0.828062	hard	3.282951	1.000000	0.000000	2.768263	0.111111
всегда	6	0.827260	hard	3.112871	1.000000	0.000000	2.853833	0.166667
сильный	7	0.826743	hard	3.401598	1.000000	0.000000	2.318657	0.142857
вокзал	6	0.821452	hard	3.085430	1.000000	0.000000	2.908478	0.166667
двигаться	9	0.819964	hard	3.282146	1.000000	0.000000	2.758162	0.111111
группа	6	0.818977	hard	3.391528	0.833333	0.166667	3.000035	0.166667
